Timestamp,RPM(rpm),Speed(km/h),CoolantTemp(C),IntakeTemp(C),MAP(kPa),BaroPressure(kPa),BoostPressure(bar),ThrottlePos(%),STFT(%),LTFT(%),MAF(g/s),O2_B1S1(V),O2_B1S2(V),TimingAdvance(deg),Voltage(V),EngineLoad(%),FuelStatus,AmbAirTemp(C),TFT(C)
2026-08-08 18:47:14.913,677.5,0.0,82.0,33.0,17.0,99.0,-0.82,23.92,-10.16,0.0,2.05,0.77,0.77,7.0,13.5,18.43,"Closed loop, using oxygen sensor feedback to determine fuel mix/",31.0,37
2026-08-08 18:47:16.907,687.0,0.0,82.0,33.0,18.0,99.0,-0.81,23.92,-10.94,0.0,2.07,0.09,0.74,4.5,13.4,18.43,"Closed loop, using oxygen sensor feedback to determine fuel mix/",31.0,37
2026-08-08 18:47:18.601,685.25,0.0,82.0,33.0,17.0,99.0,-0.82,23.92,-6.25,0.0,2.04,0.74,0.52,7.0,13.5,18.04,"Closed loop, using oxygen sensor feedback to determine fuel mix/",31.0,37
2026-08-08 18:47:20.298,682.0,0.0,82.0,33.0,17.0,99.0,-0.82,24.31,-10.16,0.0,2.05,0.75,0.77,5.5,13.4,18.04,"Closed loop, using oxygen sensor feedback to determine fuel mix/",31.0,37
2026-08-08 18:47:22.009,677.75,0.0,82.0,33.0,17.0,99.0,-0.82,24.31,-10.94,0.0,2.05,0.08,0.74,6.5,13.4,18.04,"Closed loop, using oxygen sensor feedback to determine fuel mix/",31.0,37
2026-08-08 18:47:23.700,678.75,0.0,82.0,33.0,18.0,99.0,-0.81,23.92,-6.25,0.0,2.06,0.73,0.46,2.5,13.3,18.04,"Closed loop, using oxygen sensor feedback to determine fuel mix/",31.0,37
2026-08-08 18:47:25.409,687.5,0.0,83.0,33.0,18.0,99.0,-0.81,23.92,-10.16,0.0,2.05,0.79,0.75,4.5,13.4,18.43,"Closed loop, using oxygen sensor feedback to determine fuel mix/",31.0,37
2026-08-08 18:47:27.103,665.5,0.0,83.0,33.0,18.0,99.0,-0.81,24.31,-10.94,0.0,2.06,0.08,0.76,7.0,13.5,18.04,"Closed loop, using oxygen sensor feedback to determine fuel mix/",31.0,37
2026-08-08 18:47:28.793,683.75,0.0,83.0,33.0,17.0,99.0,-0.82,23.92,-6.25,0.0,2.06,0.72,0.47,5.0,13.4,18.04,"Closed loop, using oxygen sensor feedback to determine fuel mix/",31.0,37
2026-08-08 18:47:30.488,683.5,0.0,83.0,33.0,18.0,99.0,-0.81,23.92,-10.16,0.0,2.05,0.79,0.73,5.0,13.3,18.04,"Closed loop, using oxygen sensor feedback to determine fuel mix/",31.0,37
2026-08-08 18:47:32.181,678.75,0.0,83.0,33.0,17.0,99.0,-0.82,24.31,-10.94,0.0,2.06,0.09,0.76,5.5,13.4,18.43,"Closed loop, using oxygen sensor feedback to determine fuel mix/",31.0,37
2026-08-08 18:47:33.874,682.75,0.0,83.0,33.0,17.0,99.0,-0.82,23.92,-6.25,0.0,2.05,0.18,0.52,3.5,13.3,18.04,"Closed loop, using oxygen sensor feedback to determine fuel mix/",31.0,37
2026-08-08 18:47:35.566,681.0,0.0,83.0,33.0,18.0,99.0,-0.81,23.92,-10.16,0.0,2.03,0.81,0.68,4.5,13.4,18.04,"Closed loop, using oxygen sensor feedback to determine fuel mix/",31.0,37
2026-08-08 18:47:37.260,677.75,0.0,83.0,33.0,17.0,99.0,-0.82,23.92,-10.94,0.0,2.05,0.1,0.77,3.0,13.3,18.43,"Closed loop, using oxygen sensor feedback to determine fuel mix/",31.0,37
2026-08-08 18:47:38.952,679.25,0.0,83.0,33.0,17.0,99.0,-0.82,23.92,-7.03,0.0,2.04,0.11,0.65,3.5,13.4,18.04,"Closed loop, using oxygen sensor feedback to determine fuel mix/",31.0,37
