Timestamp,RPM(rpm),Speed(km/h),CoolantTemp(C),IntakeTemp(C),MAP(kPa),BaroPressure(kPa),BoostPressure(bar),ThrottlePos(%),STFT(%),LTFT(%),MAF(g/s),O2_B1S1(V),O2_B1S2(V),TimingAdvance(deg),Voltage(V),EngineLoad(%),FuelStatus,AmbAirTemp(C),TFT(C)
2026-08-09 14:22:29.602,689.5,0.0,72.0,35.0,16.0,99.0,-0.83,23.14,-17.97,0.78,1.87,0.8,0.19,3.0,11.8,16.47,"Closed loop, using oxygen sensor feedback to determine fuel mix/",33.0,35
2026-08-09 14:22:31.592,688.5,0.0,72.0,35.0,15.0,99.0,-0.84,23.14,-21.88,0.78,1.87,0.79,0.6,4.5,11.7,16.86,"Closed loop, using oxygen sensor feedback to determine fuel mix/",33.0,35
2026-08-09 14:22:33.296,675.25,0.0,73.0,35.0,17.0,99.0,-0.82,23.53,-22.66,0.78,1.89,0.09,0.78,6.0,11.8,16.86,"Closed loop, using oxygen sensor feedback to determine fuel mix/",33.0,35
2026-08-09 14:22:34.992,681.5,0.0,73.0,35.0,16.0,99.0,-0.83,23.14,-17.97,0.78,1.87,0.67,0.26,4.0,11.8,16.47,"Closed loop, using oxygen sensor feedback to determine fuel mix/",33.0,35
2026-08-09 14:22:36.704,686.75,0.0,73.0,35.0,15.0,99.0,-0.84,23.14,-17.97,0.78,1.85,0.83,0.39,5.0,11.8,16.47,"Closed loop, using oxygen sensor feedback to determine fuel mix/",33.0,35
2026-08-09 14:22:38.401,677.25,0.0,73.0,35.0,16.0,99.0,-0.83,23.14,-22.66,0.78,1.89,0.09,0.8,8.5,11.8,16.86,"Closed loop, using oxygen sensor feedback to determine fuel mix/",33.0,35
2026-08-09 14:22:40.093,680.25,0.0,73.0,35.0,17.0,99.0,-0.82,23.53,-18.75,0.78,1.9,0.09,0.41,3.0,11.7,16.86,"Closed loop, using oxygen sensor feedback to determine fuel mix/",33.0,35
2026-08-09 14:22:41.793,679.75,0.0,73.0,35.0,15.0,99.0,-0.84,22.75,-17.97,0.78,1.83,0.83,0.23,4.0,11.8,16.47,"Closed loop, using oxygen sensor feedback to determine fuel mix/",33.0,35
2026-08-09 14:22:43.486,666.5,0.0,73.0,35.0,17.0,99.0,-0.82,23.14,-22.66,0.78,1.87,0.59,0.73,4.5,11.7,16.86,"Closed loop, using oxygen sensor feedback to determine fuel mix/",33.0,35
2026-08-09 14:22:45.180,670.75,0.0,73.0,35.0,16.0,99.0,-0.83,23.53,-22.66,0.78,1.9,0.08,0.73,9.5,11.8,16.86,"Closed loop, using oxygen sensor feedback to determine fuel mix/",33.0,35
2026-08-09 14:22:46.876,684.75,0.0,73.0,35.0,15.0,99.0,-0.84,23.14,-17.97,0.78,1.87,0.79,0.2,3.5,11.7,16.47,"Closed loop, using oxygen sensor feedback to determine fuel mix/",33.0,35
2026-08-09 14:22:48.572,685.25,0.0,73.0,35.0,16.0,99.0,-0.83,23.14,-21.88,0.78,1.84,0.82,0.47,3.5,11.7,16.86,"Closed loop, using oxygen sensor feedback to determine fuel mix/",33.0,35
2026-08-09 14:22:50.272,660.25,0.0,73.0,35.0,16.0,99.0,-0.83,23.53,-22.66,0.78,1.91,0.08,0.78,6.0,11.7,16.86,"Closed loop, using oxygen sensor feedback to determine fuel mix/",33.0,35
2026-08-09 14:22:51.962,679.5,0.0,73.0,35.0,16.0,99.0,-0.83,23.53,-17.97,0.78,1.88,0.1,0.2,3.0,11.8,16.47,"Closed loop, using oxygen sensor feedback to determine fuel mix/",33.0,35
2026-08-09 14:22:53.660,686.75,0.0,73.0,35.0,15.0,99.0,-0.84,23.14,-17.19,0.78,1.86,0.82,0.2,5.0,11.8,16.86,"Closed loop, using oxygen sensor feedback to determine fuel mix/",33.0,35
2026-08-09 14:22:55.372,672.25,0.0,73.0,35.0,16.0,99.0,-0.83,23.53,-21.88,0.78,1.9,0.66,0.71,6.0,11.8,16.86,"Closed loop, using oxygen sensor feedback to determine fuel mix/",33.0,35
2026-08-09 14:22:57.070,672.75,0.0,73.0,35.0,16.0,99.0,-0.83,23.53,-21.88,0.78,1.91,0.08,0.73,9.0,11.9,17.25,"Closed loop, using oxygen sensor feedback to determine fuel mix/",33.0,35
2026-08-09 14:22:58.762,692.5,0.0,74.0,35.0,17.0,99.0,-0.82,23.53,-17.19,0.78,1.89,0.75,0.17,4.5,11.8,16.86,"Closed loop, using oxygen sensor feedback to determine fuel mix/",33.0,35
2026-08-09 14:23:00.457,683.75,0.0,74.0,35.0,16.0,99.0,-0.83,23.53,-17.19,0.78,1.89,0.82,0.38,7.0,11.8,16.86,"Closed loop, using oxygen sensor feedback to determine fuel mix/",33.0,35
2026-08-09 14:23:02.152,675.75,0.0,74.0,35.0,16.0,99.0,-0.83,23.53,-21.88,0.78,1.92,0.09,0.78,5.0,11.8,17.25,"Closed loop, using oxygen sensor feedback to determine fuel mix/",33.0,35
2026-08-09 14:23:03.847,681.75,0.0,74.0,35.0,17.0,99.0,-0.82,23.53,-17.19,0.78,1.92,0.1,0.25,4.0,11.8,16.86,"Closed loop, using oxygen sensor feedback to determine fuel mix/",33.0,35
2026-08-09 14:23:05.545,681.5,0.0,74.0,35.0,17.0,99.0,-0.82,23.53,-16.41,0.78,1.9,0.83,0.21,3.0,11.9,16.86,"Closed loop, using oxygen sensor feedback to determine fuel mix/",33.0,35
2026-08-09 14:23:07.238,681.25,0.0,74.0,35.0,16.0,99.0,-0.83,23.53,-21.09,0.78,1.9,0.77,0.75,4.0,11.8,16.86,"Closed loop, using oxygen sensor feedback to determine fuel mix/",33.0,35
2026-08-09 14:23:08.936,676.5,0.0,74.0,35.0,16.0,99.0,-0.83,23.53,-21.09,0.78,1.92,0.08,0.77,6.5,11.9,17.25,"Closed loop, using oxygen sensor feedback to determine fuel mix/",33.0,35
2026-08-09 14:23:10.630,689.5,0.0,74.0,35.0,17.0,99.0,-0.82,23.53,-16.41,0.78,1.91,0.71,0.23,4.0,11.8,16.86,"Closed loop, using oxygen sensor feedback to determine fuel mix/",33.0,35
2026-08-09 14:23:12.328,681.25,0.0,74.0,35.0,16.0,99.0,-0.83,23.53,-16.41,0.78,1.89,0.84,0.4,3.5,11.9,16.86,"Closed loop, using oxygen sensor feedback to determine fuel mix/",33.0,35
2026-08-09 14:23:14.023,669.0,0.0,74.0,35.0,17.0,99.0,-0.82,23.53,-21.09,0.78,1.92,0.1,0.8,5.0,11.9,17.25,"Closed loop, using oxygen sensor feedback to determine fuel mix/",33.0,35
2026-08-09 14:23:15.720,678.0,0.0,74.0,35.0,16.0,99.0,-0.83,23.53,-17.19,0.78,1.92,0.09,0.54,2.5,12.0,16.86,"Closed loop, using oxygen sensor feedback to determine fuel mix/",33.0,35
2026-08-09 14:23:17.412,683.25,0.0,74.0,35.0,16.0,99.0,-0.83,23.53,-16.41,0.78,1.9,0.81,0.23,4.0,11.9,16.86,"Closed loop, using oxygen sensor feedback to determine fuel mix/",33.0,35
2026-08-09 14:23:19.109,675.0,0.0,74.0,35.0,16.0,99.0,-0.83,23.53,-21.09,0.78,1.91,0.73,0.72,5.5,11.9,17.25,"Closed loop, using oxygen sensor feedback to determine fuel mix/",33.0,35
2026-08-09 14:23:20.805,672.5,0.0,74.0,35.0,16.0,99.0,-0.83,23.53,-21.09,0.78,1.92,0.09,0.77,7.5,11.9,16.86,"Closed loop, using oxygen sensor feedback to determine fuel mix/",33.0,35
2026-08-09 14:23:22.500,684.0,0.0,74.0,35.0,17.0,99.0,-0.82,23.53,-16.41,0.78,1.91,0.73,0.24,3.0,11.9,16.86,"Closed loop, using oxygen sensor feedback to determine fuel mix/",33.0,35
2026-08-09 14:23:24.196,680.0,0.0,74.0,35.0,16.0,99.0,-0.83,23.14,-20.31,0.78,1.87,0.85,0.44,6.0,12.0,16.86,"Closed loop, using oxygen sensor feedback to determine fuel mix/",33.0,35
2026-08-09 14:23:25.891,669.0,0.0,74.0,35.0,17.0,99.0,-0.82,23.53,-21.09,0.78,1.91,0.09,0.81,8.0,11.9,17.25,"Closed loop, using oxygen sensor feedback to determine fuel mix/",33.0,
2026-08-09 14:23:27.574,676.75,0.0,74.0,,17.0,99.0,-0.82,23.53,-17.19,0.78,1.92,0.09,0.47,4.5,12.0,16.86,"Closed loop, using oxygen sensor feedback to determine fuel mix/",33.0,35
2026-08-09 14:23:29.234,688.5,0.0,75.0,35.0,16.0,99.0,-0.83,23.53,-16.41,0.78,1.9,0.81,0.22,4.5,12.0,16.86,"Closed loop, using oxygen sensor feedback to determine fuel mix/",33.0,35
2026-08-09 14:23:30.930,676.25,0.0,75.0,35.0,17.0,99.0,-0.82,23.53,,0.78,1.9,0.76,0.67,7.0,11.9,16.86,"Closed loop, using oxygen sensor feedback to determine fuel mix/",33.0,35
2026-08-09 14:23:32.593,665.75,0.0,75.0,35.0,16.0,99.0,-0.83,23.53,-21.09,0.78,1.92,0.08,0.75,6.5,11.9,17.25,"Closed loop, using oxygen sensor feedback to determine fuel mix/",33.0,35
