Timestamp,RPM(rpm),MAP(kPa),MAF(g/s),ThrottlePos(%),RelThrottlePos(%),EngineLoad(%),STFT(%),LTFT(%),O2_B1S1(V),O2_B1S2(V),CatTemp_B1S1(C),EQ_Ratio,BoostPressure(bar),Speed(km/h),CoolantTemp(C),IntakeTemp(C),BaroPressure(kPa),TimingAdvance(deg),Voltage(V),FuelStatus,AmbAirTemp(C),TFT(C)
2026-09-13 15:58:39.599,671.25,17.0,1.82,23.14,12.94,16.08,-3.91,-4.69,0.1,0.65,446.0,1.0,-0.83,0.0,93.0,48.0,100.0,1.0,12.8,"Closed loop, using oxygen sensor feedback to determine fuel mix/",19.0,82
2026-09-13 15:58:40.899,682.25,17.0,1.81,23.14,12.94,16.08,0.0,-4.69,0.14,0.64,446.0,1.0,-0.83,0.0,93.0,48.0,100.0,1.0,12.8,"Closed loop, using oxygen sensor feedback to determine fuel mix/",19.0,82
2026-09-13 15:58:41.244,684.75,17.0,1.8,23.14,12.55,16.08,-3.12,-4.69,0.75,0.65,445.0,1.0,-0.83,0.0,93.0,48.0,100.0,1.0,12.8,"Closed loop, using oxygen sensor feedback to determine fuel mix/",19.0,82
2026-09-13 15:58:41.595,672.75,17.0,1.82,23.14,12.94,16.08,-3.12,-4.69,0.78,0.65,445.0,1.0,-0.83,0.0,93.0,48.0,100.0,1.0,12.8,"Closed loop, using oxygen sensor feedback to determine fuel mix/",19.0,82
2026-09-13 15:58:41.961,671.75,17.0,1.82,23.14,12.94,16.08,-3.91,-4.69,0.73,0.65,445.0,1.0,-0.83,0.0,93.0,48.0,100.0,1.0,12.8,"Closed loop, using oxygen sensor feedback to determine fuel mix/",19.0,82
2026-09-13 15:58:42.312,678.25,17.0,1.83,23.14,12.94,16.47,-3.91,-4.69,0.17,0.65,445.0,1.0,-0.83,0.0,93.0,48.0,100.0,4.5,12.9,"Closed loop, using oxygen sensor feedback to determine fuel mix/",19.0,82
2026-09-13 15:58:42.935,686.75,17.0,1.81,23.14,12.94,16.08,-0.78,-4.69,0.09,0.65,445.0,1.0,-0.83,0.0,93.0,48.0,100.0,4.5,12.9,"Closed loop, using oxygen sensor feedback to determine fuel mix/",19.0,82
2026-09-13 15:58:43.287,682.75,17.0,1.8,23.14,12.55,16.08,-0.78,-4.69,0.1,0.65,445.0,1.0,-0.83,0.0,93.0,48.0,100.0,4.5,12.9,"Closed loop, using oxygen sensor feedback to determine fuel mix/",19.0,82
2026-09-13 15:58:43.655,679.25,16.0,1.79,23.14,12.94,16.08,0.0,-4.69,0.24,0.65,445.0,1.0,-0.84,0.0,93.0,48.0,100.0,4.5,12.9,"Closed loop, using oxygen sensor feedback to determine fuel mix/",19.0,82
2026-09-13 15:58:43.990,679.0,18.0,1.8,23.14,12.94,16.47,-3.12,-4.69,0.77,0.65,445.0,1.0,-0.82,0.0,93.0,48.0,100.0,4.5,12.9,"Closed loop, using oxygen sensor feedback to determine fuel mix/",19.0,82
2026-09-13 15:58:44.388,674.75,17.0,1.8,23.14,12.94,16.47,-3.12,-4.69,0.75,0.65,445.0,1.0,-0.83,0.0,93.0,48.0,100.0,6.0,13.0,"Closed loop, using oxygen sensor feedback to determine fuel mix/",19.0,82
2026-09-13 15:58:45.010,679.25,17.0,1.82,23.14,12.94,16.47,-3.91,-4.69,0.1,0.65,445.0,1.0,-0.83,0.0,93.0,48.0,100.0,6.0,13.0,"Closed loop, using oxygen sensor feedback to determine fuel mix/",19.0,82
2026-09-13 15:58:45.395,687.75,17.0,1.81,23.14,12.94,16.47,-0.78,-4.69,0.09,0.65,445.0,1.0,-0.83,0.0,93.0,48.0,100.0,6.0,13.0,"Closed loop, using oxygen sensor feedback to determine fuel mix/",19.0,82
2026-09-13 15:58:45.764,683.5,16.0,1.81,23.14,12.94,16.08,-0.78,-4.69,0.1,0.65,445.0,1.0,-0.84,0.0,93.0,48.0,100.0,6.0,13.0,"Closed loop, using oxygen sensor feedback to determine fuel mix/",19.0,82
2026-09-13 15:58:46.114,682.25,18.0,1.8,23.14,12.94,16.08,0.0,-4.69,0.48,0.65,444.0,1.0,-0.82,0.0,93.0,48.0,100.0,6.0,13.0,"Closed loop, using oxygen sensor feedback to determine fuel mix/",19.0,82
2026-09-13 15:58:46.514,678.5,17.0,1.8,23.14,12.94,16.08,-3.12,-4.69,0.78,0.65,444.0,1.0,-0.83,0.0,93.0,48.0,100.0,4.5,13.0,"Closed loop, using oxygen sensor feedback to determine fuel mix/",19.0,82
2026-09-13 15:58:47.150,675.5,17.0,1.81,23.14,12.94,16.47,-3.91,-4.69,0.65,0.65,444.0,1.0,-0.83,0.0,93.0,48.0,100.0,4.5,13.0,"Closed loop, using oxygen sensor feedback to determine fuel mix/",19.0,82
2026-09-13 15:58:47.552,676.75,18.0,1.83,23.14,12.94,16.47,-3.91,-4.69,0.1,0.65,444.0,1.0,-0.82,0.0,93.0,48.0,100.0,4.5,13.0,"Closed loop, using oxygen sensor feedback to determine fuel mix/",19.0,82
2026-09-13 15:58:47.892,682.25,17.0,1.81,23.14,12.94,16.47,-0.78,-4.69,0.09,0.64,444.0,1.0,-0.83,0.0,93.0,48.0,100.0,4.5,13.0,"Closed loop, using oxygen sensor feedback to determine fuel mix/",19.0,82
2026-09-13 15:58:48.269,682.5,17.0,1.8,23.14,12.94,16.08,-0.78,-4.69,0.1,0.65,444.0,1.0,-0.83,0.0,93.0,48.0,100.0,4.5,13.0,"Closed loop, using oxygen sensor feedback to determine fuel mix/",19.0,82
2026-09-13 15:58:48.646,677.75,18.0,1.81,23.14,12.55,16.08,0.0,-4.69,0.33,0.65,444.0,1.0,-0.82,0.0,94.0,48.0,100.0,6.0,12.9,"Closed loop, using oxygen sensor feedback to determine fuel mix/",19.0,82
2026-09-13 15:58:49.318,673.0,18.0,1.82,23.14,12.94,16.47,-3.12,-4.69,0.77,0.65,444.0,1.0,-0.82,0.0,94.0,48.0,100.0,6.0,12.9,"Closed loop, using oxygen sensor feedback to determine fuel mix/",19.0,82
2026-09-13 15:58:49.675,672.0,17.0,1.81,23.14,12.94,16.47,-3.91,-4.69,0.68,0.65,444.0,1.0,-0.83,0.0,94.0,48.0,100.0,6.0,12.9,"Closed loop, using oxygen sensor feedback to determine fuel mix/",19.0,82
2026-09-13 15:58:50.026,679.0,18.0,1.82,23.14,12.94,16.47,-3.91,-4.69,0.1,0.65,444.0,1.0,-0.82,0.0,94.0,48.0,100.0,6.0,12.9,"Closed loop, using oxygen sensor feedback to determine fuel mix/",19.0,82
2026-09-13 15:58:50.393,681.5,17.0,1.82,23.14,12.94,16.47,-0.78,-4.69,0.09,0.65,444.0,1.0,-0.83,0.0,94.0,48.0,100.0,6.0,12.9,"Closed loop, using oxygen sensor feedback to determine fuel mix/",19.0,82
2026-09-13 15:58:50.744,684.25,17.0,1.81,23.14,12.55,16.08,-0.78,-4.69,0.1,0.64,444.0,1.0,-0.83,0.0,94.0,48.0,100.0,3.5,12.9,"Closed loop, using oxygen sensor feedback to determine fuel mix/",19.0,82
2026-09-13 15:58:51.368,684.5,17.0,1.8,23.14,12.94,16.08,-3.12,-4.69,0.77,0.64,444.0,1.0,-0.83,0.0,94.0,48.0,100.0,3.5,12.9,"Closed loop, using oxygen sensor feedback to determine fuel mix/",19.0,82
2026-09-13 15:58:51.719,676.75,18.0,1.82,23.14,12.94,16.47,-3.12,-4.69,0.77,0.64,443.0,1.0,-0.82,0.0,94.0,48.0,100.0,3.5,12.9,"Closed loop, using oxygen sensor feedback to determine fuel mix/",19.0,82
2026-09-13 15:58:52.089,679.0,18.0,1.83,23.14,12.94,16.47,-3.91,-4.69,0.66,0.65,443.0,1.0,-0.82,0.0,94.0,48.0,100.0,3.5,12.9,"Closed loop, using oxygen sensor feedback to determine fuel mix/",19.0,82
2026-09-13 15:58:52.437,678.0,18.0,1.82,23.14,12.94,16.47,-3.91,-4.69,0.1,0.65,443.0,1.0,-0.82,0.0,94.0,48.0,100.0,3.5,12.9,"Closed loop, using oxygen sensor feedback to determine fuel mix/",19.0,82
2026-09-13 15:58:52.789,690.0,18.0,1.82,23.14,12.94,16.08,-0.78,-4.69,0.09,0.65,443.0,1.0,-0.82,0.0,94.0,48.0,100.0,2.0,12.9,"Closed loop, using oxygen sensor feedback to determine fuel mix/",19.0,82
